sample_id,source_platform,effect,filter_name,category,class_label,input_variant,input_image,sample_dir,video_path,render_json,params_json,pipeline_json,source_code_dir,shader_dir,shader_program_count,fbo_allocation_count,animated_param,duration_ms,fps,frames,max_effect_signal,max_temporal_change,quality_warnings
RainbowDrop__cross_lines,kuaiying_plugin_library,RainbowDrop,RainbowDrop,color_distortion,rainbow_drop_blur,cross_lines,datasets/effect_training/kuaiying_multi_pass/samples/RainbowDrop__cross_lines/input.png,datasets/effect_training/kuaiying_multi_pass/samples/RainbowDrop__cross_lines,datasets/effect_training/kuaiying_multi_pass/samples/RainbowDrop__cross_lines/final.mp4,datasets/effect_training/kuaiying_multi_pass/samples/RainbowDrop__cross_lines/final.json,datasets/effect_training/kuaiying_multi_pass/samples/RainbowDrop__cross_lines/params.json,datasets/effect_training/kuaiying_multi_pass/effects/RainbowDrop/pipeline.json,datasets/effect_training/kuaiying_multi_pass/effects/RainbowDrop/source,datasets/effect_training/kuaiying_multi_pass/effects/RainbowDrop/shaders,8,4,Color,5000,25,125,98.339,48.814,
RainbowDrop__gray_ramp,kuaiying_plugin_library,RainbowDrop,RainbowDrop,color_distortion,rainbow_drop_blur,gray_ramp,datasets/effect_training/kuaiying_multi_pass/samples/RainbowDrop__gray_ramp/input.png,datasets/effect_training/kuaiying_multi_pass/samples/RainbowDrop__gray_ramp,datasets/effect_training/kuaiying_multi_pass/samples/RainbowDrop__gray_ramp/final.mp4,datasets/effect_training/kuaiying_multi_pass/samples/RainbowDrop__gray_ramp/final.json,datasets/effect_training/kuaiying_multi_pass/samples/RainbowDrop__gray_ramp/params.json,datasets/effect_training/kuaiying_multi_pass/effects/RainbowDrop/pipeline.json,datasets/effect_training/kuaiying_multi_pass/effects/RainbowDrop/source,datasets/effect_training/kuaiying_multi_pass/effects/RainbowDrop/shaders,8,4,Color,5000,25,125,107.312,81.308,
RainbowDrop__model,kuaiying_plugin_library,RainbowDrop,RainbowDrop,color_distortion,rainbow_drop_blur,model,datasets/effect_training/kuaiying_multi_pass/samples/RainbowDrop__model/input.png,datasets/effect_training/kuaiying_multi_pass/samples/RainbowDrop__model,datasets/effect_training/kuaiying_multi_pass/samples/RainbowDrop__model/final.mp4,datasets/effect_training/kuaiying_multi_pass/samples/RainbowDrop__model/final.json,datasets/effect_training/kuaiying_multi_pass/samples/RainbowDrop__model/params.json,datasets/effect_training/kuaiying_multi_pass/effects/RainbowDrop/pipeline.json,datasets/effect_training/kuaiying_multi_pass/effects/RainbowDrop/source,datasets/effect_training/kuaiying_multi_pass/effects/RainbowDrop/shaders,8,4,Color,5000,25,125,68.517,67.096,
RainbowDrop__rg_split,kuaiying_plugin_library,RainbowDrop,RainbowDrop,color_distortion,rainbow_drop_blur,rg_split,datasets/effect_training/kuaiying_multi_pass/samples/RainbowDrop__rg_split/input.png,datasets/effect_training/kuaiying_multi_pass/samples/RainbowDrop__rg_split,datasets/effect_training/kuaiying_multi_pass/samples/RainbowDrop__rg_split/final.mp4,datasets/effect_training/kuaiying_multi_pass/samples/RainbowDrop__rg_split/final.json,datasets/effect_training/kuaiying_multi_pass/samples/RainbowDrop__rg_split/params.json,datasets/effect_training/kuaiying_multi_pass/effects/RainbowDrop/pipeline.json,datasets/effect_training/kuaiying_multi_pass/effects/RainbowDrop/source,datasets/effect_training/kuaiying_multi_pass/effects/RainbowDrop/shaders,8,4,Color,5000,25,125,52.252,46.068,
RainbowDrop__ring_mask,kuaiying_plugin_library,RainbowDrop,RainbowDrop,color_distortion,rainbow_drop_blur,ring_mask,datasets/effect_training/kuaiying_multi_pass/samples/RainbowDrop__ring_mask/input.png,datasets/effect_training/kuaiying_multi_pass/samples/RainbowDrop__ring_mask,datasets/effect_training/kuaiying_multi_pass/samples/RainbowDrop__ring_mask/final.mp4,datasets/effect_training/kuaiying_multi_pass/samples/RainbowDrop__ring_mask/final.json,datasets/effect_training/kuaiying_multi_pass/samples/RainbowDrop__ring_mask/params.json,datasets/effect_training/kuaiying_multi_pass/effects/RainbowDrop/pipeline.json,datasets/effect_training/kuaiying_multi_pass/effects/RainbowDrop/source,datasets/effect_training/kuaiying_multi_pass/effects/RainbowDrop/shaders,8,4,Color,5000,25,125,116.401,69.905,
WaterDroplet__cross_lines,kuaiying_plugin_library,WaterDroplet,WaterDroplet,geometry_warp,water_droplet_refraction,cross_lines,datasets/effect_training/kuaiying_multi_pass/samples/WaterDroplet__cross_lines/input.png,datasets/effect_training/kuaiying_multi_pass/samples/WaterDroplet__cross_lines,datasets/effect_training/kuaiying_multi_pass/samples/WaterDroplet__cross_lines/final.mp4,datasets/effect_training/kuaiying_multi_pass/samples/WaterDroplet__cross_lines/final.json,datasets/effect_training/kuaiying_multi_pass/samples/WaterDroplet__cross_lines/params.json,datasets/effect_training/kuaiying_multi_pass/effects/WaterDroplet/pipeline.json,datasets/effect_training/kuaiying_multi_pass/effects/WaterDroplet/source,datasets/effect_training/kuaiying_multi_pass/effects/WaterDroplet/shaders,9,4,Progress,5000,25,125,8.576,8.632,
WaterDroplet__gray_ramp,kuaiying_plugin_library,WaterDroplet,WaterDroplet,geometry_warp,water_droplet_refraction,gray_ramp,datasets/effect_training/kuaiying_multi_pass/samples/WaterDroplet__gray_ramp/input.png,datasets/effect_training/kuaiying_multi_pass/samples/WaterDroplet__gray_ramp,datasets/effect_training/kuaiying_multi_pass/samples/WaterDroplet__gray_ramp/final.mp4,datasets/effect_training/kuaiying_multi_pass/samples/WaterDroplet__gray_ramp/final.json,datasets/effect_training/kuaiying_multi_pass/samples/WaterDroplet__gray_ramp/params.json,datasets/effect_training/kuaiying_multi_pass/effects/WaterDroplet/pipeline.json,datasets/effect_training/kuaiying_multi_pass/effects/WaterDroplet/source,datasets/effect_training/kuaiying_multi_pass/effects/WaterDroplet/shaders,9,4,Progress,5000,25,125,21.784,23.262,
WaterDroplet__model,kuaiying_plugin_library,WaterDroplet,WaterDroplet,geometry_warp,water_droplet_refraction,model,datasets/effect_training/kuaiying_multi_pass/samples/WaterDroplet__model/input.png,datasets/effect_training/kuaiying_multi_pass/samples/WaterDroplet__model,datasets/effect_training/kuaiying_multi_pass/samples/WaterDroplet__model/final.mp4,datasets/effect_training/kuaiying_multi_pass/samples/WaterDroplet__model/final.json,datasets/effect_training/kuaiying_multi_pass/samples/WaterDroplet__model/params.json,datasets/effect_training/kuaiying_multi_pass/effects/WaterDroplet/pipeline.json,datasets/effect_training/kuaiying_multi_pass/effects/WaterDroplet/source,datasets/effect_training/kuaiying_multi_pass/effects/WaterDroplet/shaders,9,4,Progress,5000,25,125,6.54,5.509,
Wave__cross_lines,kuaiying_plugin_library,Wave,Wave,geometry_warp,wave_blur_composite,cross_lines,datasets/effect_training/kuaiying_multi_pass/samples/Wave__cross_lines/input.png,datasets/effect_training/kuaiying_multi_pass/samples/Wave__cross_lines,datasets/effect_training/kuaiying_multi_pass/samples/Wave__cross_lines/final.mp4,datasets/effect_training/kuaiying_multi_pass/samples/Wave__cross_lines/final.json,datasets/effect_training/kuaiying_multi_pass/samples/Wave__cross_lines/params.json,datasets/effect_training/kuaiying_multi_pass/effects/Wave/pipeline.json,datasets/effect_training/kuaiying_multi_pass/effects/Wave/source,datasets/effect_training/kuaiying_multi_pass/effects/Wave/shaders,7,3,AdjustIntensity,5000,25,125,6.342,5.533,
Wave__gray_ramp,kuaiying_plugin_library,Wave,Wave,geometry_warp,wave_blur_composite,gray_ramp,datasets/effect_training/kuaiying_multi_pass/samples/Wave__gray_ramp/input.png,datasets/effect_training/kuaiying_multi_pass/samples/Wave__gray_ramp,datasets/effect_training/kuaiying_multi_pass/samples/Wave__gray_ramp/final.mp4,datasets/effect_training/kuaiying_multi_pass/samples/Wave__gray_ramp/final.json,datasets/effect_training/kuaiying_multi_pass/samples/Wave__gray_ramp/params.json,datasets/effect_training/kuaiying_multi_pass/effects/Wave/pipeline.json,datasets/effect_training/kuaiying_multi_pass/effects/Wave/source,datasets/effect_training/kuaiying_multi_pass/effects/Wave/shaders,7,3,AdjustIntensity,5000,25,125,30.468,28.317,
Wave__model,kuaiying_plugin_library,Wave,Wave,geometry_warp,wave_blur_composite,model,datasets/effect_training/kuaiying_multi_pass/samples/Wave__model/input.png,datasets/effect_training/kuaiying_multi_pass/samples/Wave__model,datasets/effect_training/kuaiying_multi_pass/samples/Wave__model/final.mp4,datasets/effect_training/kuaiying_multi_pass/samples/Wave__model/final.json,datasets/effect_training/kuaiying_multi_pass/samples/Wave__model/params.json,datasets/effect_training/kuaiying_multi_pass/effects/Wave/pipeline.json,datasets/effect_training/kuaiying_multi_pass/effects/Wave/source,datasets/effect_training/kuaiying_multi_pass/effects/Wave/shaders,7,3,AdjustIntensity,5000,25,125,11.299,9.515,
Wave__ring_mask,kuaiying_plugin_library,Wave,Wave,geometry_warp,wave_blur_composite,ring_mask,datasets/effect_training/kuaiying_multi_pass/samples/Wave__ring_mask/input.png,datasets/effect_training/kuaiying_multi_pass/samples/Wave__ring_mask,datasets/effect_training/kuaiying_multi_pass/samples/Wave__ring_mask/final.mp4,datasets/effect_training/kuaiying_multi_pass/samples/Wave__ring_mask/final.json,datasets/effect_training/kuaiying_multi_pass/samples/Wave__ring_mask/params.json,datasets/effect_training/kuaiying_multi_pass/effects/Wave/pipeline.json,datasets/effect_training/kuaiying_multi_pass/effects/Wave/source,datasets/effect_training/kuaiying_multi_pass/effects/Wave/shaders,7,3,AdjustIntensity,5000,25,125,7.787,8.579,
comic__color_gradient,kuaiying_plugin_library,comic,Comic,stylize,comic_halftone,color_gradient,datasets/effect_training/kuaiying_multi_pass/samples/comic__color_gradient/input.png,datasets/effect_training/kuaiying_multi_pass/samples/comic__color_gradient,datasets/effect_training/kuaiying_multi_pass/samples/comic__color_gradient/final.mp4,datasets/effect_training/kuaiying_multi_pass/samples/comic__color_gradient/final.json,datasets/effect_training/kuaiying_multi_pass/samples/comic__color_gradient/params.json,datasets/effect_training/kuaiying_multi_pass/effects/comic/pipeline.json,datasets/effect_training/kuaiying_multi_pass/effects/comic/source,datasets/effect_training/kuaiying_multi_pass/effects/comic/shaders,3,2,gridNum,5000,25,125,74.016,44.028,
comic__cross_lines,kuaiying_plugin_library,comic,Comic,stylize,comic_halftone,cross_lines,datasets/effect_training/kuaiying_multi_pass/samples/comic__cross_lines/input.png,datasets/effect_training/kuaiying_multi_pass/samples/comic__cross_lines,datasets/effect_training/kuaiying_multi_pass/samples/comic__cross_lines/final.mp4,datasets/effect_training/kuaiying_multi_pass/samples/comic__cross_lines/final.json,datasets/effect_training/kuaiying_multi_pass/samples/comic__cross_lines/params.json,datasets/effect_training/kuaiying_multi_pass/effects/comic/pipeline.json,datasets/effect_training/kuaiying_multi_pass/effects/comic/source,datasets/effect_training/kuaiying_multi_pass/effects/comic/shaders,3,2,gridNum,5000,25,125,20.732,21.962,
comic__gray_ramp,kuaiying_plugin_library,comic,Comic,stylize,comic_halftone,gray_ramp,datasets/effect_training/kuaiying_multi_pass/samples/comic__gray_ramp/input.png,datasets/effect_training/kuaiying_multi_pass/samples/comic__gray_ramp,datasets/effect_training/kuaiying_multi_pass/samples/comic__gray_ramp/final.mp4,datasets/effect_training/kuaiying_multi_pass/samples/comic__gray_ramp/final.json,datasets/effect_training/kuaiying_multi_pass/samples/comic__gray_ramp/params.json,datasets/effect_training/kuaiying_multi_pass/effects/comic/pipeline.json,datasets/effect_training/kuaiying_multi_pass/effects/comic/source,datasets/effect_training/kuaiying_multi_pass/effects/comic/shaders,3,2,gridNum,5000,25,125,41.032,10.055,
comic__model,kuaiying_plugin_library,comic,Comic,stylize,comic_halftone,model,datasets/effect_training/kuaiying_multi_pass/samples/comic__model/input.png,datasets/effect_training/kuaiying_multi_pass/samples/comic__model,datasets/effect_training/kuaiying_multi_pass/samples/comic__model/final.mp4,datasets/effect_training/kuaiying_multi_pass/samples/comic__model/final.json,datasets/effect_training/kuaiying_multi_pass/samples/comic__model/params.json,datasets/effect_training/kuaiying_multi_pass/effects/comic/pipeline.json,datasets/effect_training/kuaiying_multi_pass/effects/comic/source,datasets/effect_training/kuaiying_multi_pass/effects/comic/shaders,3,2,gridNum,5000,25,125,36.63,11.196,
comic__rg_split,kuaiying_plugin_library,comic,Comic,stylize,comic_halftone,rg_split,datasets/effect_training/kuaiying_multi_pass/samples/comic__rg_split/input.png,datasets/effect_training/kuaiying_multi_pass/samples/comic__rg_split,datasets/effect_training/kuaiying_multi_pass/samples/comic__rg_split/final.mp4,datasets/effect_training/kuaiying_multi_pass/samples/comic__rg_split/final.json,datasets/effect_training/kuaiying_multi_pass/samples/comic__rg_split/params.json,datasets/effect_training/kuaiying_multi_pass/effects/comic/pipeline.json,datasets/effect_training/kuaiying_multi_pass/effects/comic/source,datasets/effect_training/kuaiying_multi_pass/effects/comic/shaders,3,2,gridNum,5000,25,125,93.042,51.579,
comic__ring_mask,kuaiying_plugin_library,comic,Comic,stylize,comic_halftone,ring_mask,datasets/effect_training/kuaiying_multi_pass/samples/comic__ring_mask/input.png,datasets/effect_training/kuaiying_multi_pass/samples/comic__ring_mask,datasets/effect_training/kuaiying_multi_pass/samples/comic__ring_mask/final.mp4,datasets/effect_training/kuaiying_multi_pass/samples/comic__ring_mask/final.json,datasets/effect_training/kuaiying_multi_pass/samples/comic__ring_mask/params.json,datasets/effect_training/kuaiying_multi_pass/effects/comic/pipeline.json,datasets/effect_training/kuaiying_multi_pass/effects/comic/source,datasets/effect_training/kuaiying_multi_pass/effects/comic/shaders,3,2,gridNum,5000,25,125,17.982,21.618,
